uid,profile,anime_uid,rating,scores
116603,Zomino,5680,9,"{'Overall': '9', 'Story': '8', 'Animation': '8', 'Sound': '8', 'Character': '9', 'Enjoyment': '9'}"
119131,toloverufan,5680,7,"{'Overall': '7', 'Story': '3', 'Animation': '8', 'Sound': '10', 'Character': '4', 'Enjoyment': '9'}"
102883,CorrinPiy,5680,8,"{'Overall': '8', 'Story': '6', 'Animation': '7', 'Sound': '9', 'Character': '8', 'Enjoyment': '8'}"
101505,EHeroReview,5680,7,"{'Overall': '7', 'Story': '7', 'Animation': '8', 'Sound': '8', 'Character': '7', 'Enjoyment': '7'}"
57005,Fairytopia,5680,7,"{'Overall': '7', 'Story': '4', 'Animation': '9', 'Sound': '7', 'Character': '8', 'Enjoyment': '7'}"
98211,isumi-chan,5680,9,"{'Overall': '9', 'Story': '9', 'Animation': '10', 'Sound': '10', 'Character': '9', 'Enjoyment': '9'}"
270074,PoDH,5680,9,"{'Overall': '9', 'Story': '7', 'Animation': '8', 'Sound': '10', 'Character': '7', 'Enjoyment': '10'}"
222354,arrays,5680,8,"{'Overall': '8', 'Story': '6', 'Animation': '8', 'Sound': '8', 'Character': '9', 'Enjoyment': '10'}"
32090,Battousai_027,5680,8,"{'Overall': '8', 'Story': '7', 'Animation': '9', 'Sound': '9', 'Character': '10', 'Enjoyment': '8'}"
79950,cigardah,5680,9,"{'Overall': '9', 'Story': '7', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '9'}"
227816,baellistA,5680,10,"{'Overall': '10', 'Story': '7', 'Animation': '9', 'Sound': '10', 'Character': '8', 'Enjoyment': '9'}"
226031,MillenniumA,5680,8,"{'Overall': '8', 'Story': '6', 'Animation': '7', 'Sound': '7', 'Character': '8', 'Enjoyment': '8'}"
136603,Pikangie,5680,8,"{'Overall': '8', 'Story': '7', 'Animation': '10', 'Sound': '10', 'Character': '7', 'Enjoyment': '8'}"
120467,Waldy565,5680,8,"{'Overall': '8', 'Story': '6', 'Animation': '8', 'Sound': '7', 'Character': '9', 'Enjoyment': '8'}"
224328,Masternji,5680,10,"{'Overall': '10', 'Story': '7', 'Animation': '9', 'Sound': '0', 'Character': '8', 'Enjoyment': '0'}"
235295,simoku,5680,7,"{'Overall': '7', 'Story': '6', 'Animation': '8', 'Sound': '8', 'Character': '6', 'Enjoyment': '7'}"
233416,chinodesuuu,5680,7,"{'Overall': '7', 'Story': '7', 'Animation': '8', 'Sound': '7', 'Character': '9', 'Enjoyment': '9'}"
237000,HeavenBlade,5680,10,"{'Overall': '10', 'Story': '8', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
237430,Knifilia,5680,7,"{'Overall': '7', 'Story': '5', 'Animation': '9', 'Sound': '7', 'Character': '7', 'Enjoyment': '10'}"
248813,Malthorian,5680,5,"{'Overall': '5', 'Story': '5', 'Animation': '4', 'Sound': '7', 'Character': '4', 'Enjoyment': '4'}"
250070,Craftarc,5680,8,"{'Overall': '8', 'Story': '9', 'Animation': '7', 'Sound': '8', 'Character': '7', 'Enjoyment': '8'}"
256285,FHero,5680,9,"{'Overall': '9', 'Story': '7', 'Animation': '8', 'Sound': '10', 'Character': '8', 'Enjoyment': '10'}"
252929,Pockers,5680,7,"{'Overall': '7', 'Story': '5', 'Animation': '9', 'Sound': '7', 'Character': '4', 'Enjoyment': '6'}"
266788,OwlsAreAirCats,5680,7,"{'Overall': '7', 'Story': '7', 'Animation': '6', 'Sound': '8', 'Character': '8', 'Enjoyment': '7'}"
268250,MrMawrvel,5680,9,"{'Overall': '9', 'Story': '6', 'Animation': '9', 'Sound': '8', 'Character': '10', 'Enjoyment': '9'}"
96729,DeathWish249,5680,9,"{'Overall': '9', 'Story': '6', 'Animation': '7', 'Sound': '9', 'Character': '7', 'Enjoyment': '8'}"
78297,BrigadeHamtaro,5680,9,"{'Overall': '9', 'Story': '7', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
